id,text,BIO_anno,class
677,你给我的建议大部分是割一块没用的外币卡！留个慢,O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ,2
678,如果考虑不使用的话，可以注销，只要账务结清，就可以办理注销业务。,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2
679,可以拨打客服热线注销不用的那一张。,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2
680,工行30K,B-BANK I-BANK O O O,2
681,中石化官方充值油卡，没买过吗？用起来不香么,O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O B-COMMENTS_ADJ O,2
682,说不定别的卡就有机会呢！浦发的要求就不高,O O O O O B-PRODUCT O O O O O O B-BANK I-BANK O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
683,如果只是为了下卡也行，主要不在意总额度的话，万一下个难看的卡也是累赘啊;P,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2
684,一般也就一张啊，每个银行一张，兴业我反正是过了,O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O,2
685,也许会有其他的机会卡！等着吧，招行就经常出新卡,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-BANK I-BANK O O O O O O,2
686,为啥我也是5号申请的，走的填写完整资料无卡通道，还在审核中，反倒是最晚申请的一个走的有卡通道的批了,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O,2
687,没出额度,O O B-COMMENTS_N I-COMMENTS_N,2
688,可以电话查询，放心吧,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
689,App上有额度,O O O O O B-COMMENTS_N I-COMMENTS_N,2
690,我自己刷，额度还是很慢啊,O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ O,2
691,什么资质啊？？？有预审批么？,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O,2
692,没有预审批，不过存了40多砖半年了,O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O,2
693,短信没有额度吗,O O O O B-COMMENTS_N I-COMMENTS_N O,2
694,不用拿财力证明什么的吗，我想整个高额度的卡,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O B-PRODUCT,2
695,我首卡没面签，直接APP激活的,O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
696,首卡在线下申请的吗,B-PRODUCT I-PRODUCT O O O O O O O,2
697,APP里额度调整里看不到吗,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2
698,存了也没屁用,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
699,有预审批额度吗，还是随便申请的,O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2
700,app里完成申请信息确认就可以查到额度了,O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
701,找到了，没拿身份证弄不了，晚上回去再说，反正不着急,O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
702,app里有个信用卡申请确认你试试我那天打客服电话也查不到让我拿到卡去现场面签后来我手机银行确认好就可以看到了后来也没去网点面签...,B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O,2
703,面签才知道额度吧,O O O O O B-COMMENTS_N I-COMMENTS_N O,2
704,下卡了吗,B-COMMENTS_N I-COMMENTS_N O O,2
705,建行不是现在可以在APP激活，不用面签吗，,B-BANK I-BANK O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2
706,这样推建行，真是爱了。,O O O B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
707,首卡要先去网点验明正身，面签之后就有额度了,B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
708,小贱太特么抠门了，区区几十万积分就这副嘴脸。,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O,0
709,要敢做敢当。都是成年人了。怕什么呢,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,2
710,就是特恶心的银行，信用卡我都没用也月月贷后有时候一个月还两次,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O,0
711,这有什么说法吗？不应该是银行官方说么，太坑了吧,O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,0
712,有什么说法吗？我没看见招行的官方说话,O O O O O O O O O O O B-BANK I-BANK O O O O O,2
713,首卡要去网点激活吗连储值卡都没的那种,B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O,2
714,同无储蓄卡的人告诉你要，基本上各大银行首卡都要,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O,2
715,下卡了，我浦发的早下来了,B-COMMENTS_N I-COMMENTS_N O O O B-BANK I-BANK O O O O O,2
716,可以，行少就是好下,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
717,办这么多张干嘛，一张就够了，额度高是王道,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O O O,2
718,建行有储蓄卡不需要去网点激活,B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N,2
719,楼主，征信查询多吗，有没有小贷,O O O B-PRODUCT I-PRODUCT O O O O O O O O O O,2
720,开撸B卡可以参加云闪付数字卡礼遇活动，10元还款券+30元支付立减券+视频季卡一张美滋滋,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,1
721,云闪付app-权益精选-数字生活礼遇用无界卡或者B卡去参与就行了，然后用这个卡去刷，一天刷一笔20的，他里面有记录笔数-到了多少笔就可以领取，一天只记一笔...,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O,2
722,我交通，广发首卡自己手机激活哦没去银行。,O B-BANK I-BANK O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2
723,不错不错我只买了1w3左右但愿也能早点刷出早日批卡,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-PRODUCT,1
724,这额度用来买菜吗,O B-COMMENTS_N I-COMMENTS_N O O O O O,0
725,07009是什么东西，完全搞不懂,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2
726,寄卡地址填那里？工行的，单位是不好点,O O O O O O O O B-BANK I-BANK O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
727,怎么买的理财，，才能刷出预审批额度，，，我得都没有预审批额度，，被拒了好几次了,O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ O O O O O,2
728,上面有说啊，一万买07009一星期赎回，赎回后再买，一个月重复买四次，速盈也是,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O,2
729,07009是什么基金，，在招商或者光大银行也能买吗？,O O O O O O O O B-PRODUCT I-PRODUCT O O O B-BANK I-BANK O O B-BANK I-BANK I-BANK I-BANK O O O O O,2
730,最简单的就是有张卡额度和大山相近，直接批，还有最低起批8万，没到10,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O,2
731,我建行啥也没有就批了，碰瓷成功，感觉还是看征信资质吧,O B-BANK I-BANK O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-PRODUCT I-PRODUCT O O O,2
732,我有张工商五万，有用不,O O O B-BANK I-BANK O O O O O O,2
733,真的吗，大山直接批？几万额度,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
734,没用，四大互不参照，我说的和大山相近的额度是有建行本行的信用卡，且额度8万或者以上+的建行卡，申请这个差不多都是秒批，等于说是升等...,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O O B-BANK I-BANK O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-BANK I-BANK O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_ADJ O O O O,2
735,8个大不了，每个额度提一万也够了啊,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2
736,建行有个三万的，有八万了我就不要大山了,B-BANK I-BANK O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O,2
737,建行有个三万的，有八万了我就不要大山了,B-BANK I-BANK O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O,2
738,权益用得上就要，大山很少放水，都是支行独立审核,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
739,支行独立审核的话搞好一点,O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2
740,年费也头疼，积分换油卡不好么,B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2
741,有熟人好搞，反过来说也卡的死,O O O O O O O O O O O O O O,2
742,真的，大山直接批？几万名额,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O,2
743,直接网申重新自己提交，招行就是可以的,O O O O O O O O O O O B-BANK I-BANK O O O O O,2
744,网申最后一步可以提XSZ,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O,2
745,不用交房产吗，我记得招行是需要的,O O O O O O O O O O B-BANK I-BANK O O O O,2
746,我昨晚申请了这张图，所以让我提交证明,O O O O O O O O O O O O O O O O O O,2
747,打电话问，工行客服还是比较负责的,O O O O O B-BANK I-BANK O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
748,那刷卡套出来后，通过其他银行的结算卡，再转入建行储蓄卡三方存管，再去炒股会被抓不？,O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O,2
749,被风控本地客服会电话提醒马上还上，不还就会送报上级挨罚,O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O,2
750,被风控本地客服会电话提醒马上还上，不还就会送报上级挨罚,O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O,2
751,查封投机币没事，没提，完全没提额,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
752,检查你的流水！只要建行给我快速贷款，我就敢,O O O O B-COMMENTS_N I-COMMENTS_N O O O B-BANK I-BANK O O O O B-PRODUCT I-PRODUCT O O O O,2
753,你转多少手卡不要用贷款银行的账户存股市？拿出来好不好？,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,2
754,你看明天还有没。。。不着急,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2
755,牛二个月没有了，心累啊,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
756,我已经下来了！审批通过了，预审批没用了,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O,1
757,你这个是员工的吗，建行的要求比较高,O O O O O O O O O B-BANK I-BANK O O O O O B-COMMENTS_ADJ,2
758,我是员工，我房贷什么都是建行的。,O O O O O O B-PRODUCT I-PRODUCT O O O O B-BANK I-BANK O O,2
759,利息多少啊，你这额度牛啊，我说我两个月没显示额度,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
760,多少利息？月0.45吗？,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2
761,快贷的条件是什么,B-PRODUCT I-PRODUCT O O O O O O,2
762,这个预审批额度只有一个月有效期，每个月变动的。这个月，下个月不一定有。计息是按月收，用一万一个月35块钱。,O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
763,是的.我也等它再出来.我利息是0.3，如果能预审批16万左右加0.25我就直接申请了，为此我还特意办了张信用卡。。,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O,2
764,为什么我分期通预审批为暂无,O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O,2
765,然后要三天了，一直不批不拒，有没有卡友知道怎么回事？,O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O,2
766,可能放假的事，我工商也在这几天停更新了,O O O O O O O O B-BANK I-BANK O O O O O O O O O,2
767,主要是那天改过预留信息之后才填的申请，加上最后提交申请时一直刷脸失败，选的面签，会不会是因为这些原因？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O,2
768,主要是那天改过预留信息之后才填的申请，加上最后提交申请时一直刷脸失败，选的面签，会不会是因为这些原因？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O,2
769,光大60兴业28建行26中信10华夏5恒丰26,B-BANK I-BANK O O B-BANK I-BANK O O B-BANK I-BANK O O B-BANK I-BANK O O B-BANK I-BANK O B-BANK I-BANK O O,2
770,打电话确认信息后被拒绝。是因为没有卡连接吗？,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O,2
771,我的工商这几天也不更新了。,O O B-BANK I-BANK O O O O O O O O O,2
772,考虑到免年费以及平时能用到的实用权益，二卡申请什么卡种好呢？请卡友们解惑。,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ O O O O O O O O O,2
773,他会寄给你一张新卡。你也可以主动换。我办的兴业的就是 的,O O O O O O O O B-PRODUCT O O O O O O O O O O O O B-BANK I-BANK O O O O O,2
774,这个看自己的需求。最近热门的都可以。你看一下自己需要什么？去招行的官网看看,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O,2
775,你想giao哪一个，工商银行的信用卡都不错,O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ,1
776,他会送你一个新的卡?你也可以主动改变?应该是可以的，这个看自己需求吧，我觉得不错,O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,1
777,我的积分里显示综合积分和专项积分的,O O B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT O,2
778,车卡专项积分怎么撸呢,O O O O B-PRODUCT I-PRODUCT O O O O,2
779,车卡专项积分怎么撸呢,O O O O B-PRODUCT I-PRODUCT O O O O,2
780,你这，跟我工行差不多,O O O O O B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2
781,有短信。等招行官方的短信吧,O O O O O B-BANK I-BANK O O O O O O,2
782,有公积金或者房贷？,O B-PRODUCT I-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT O,2
783,我原来都是直接取现出来的，特别方便,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
784,直接取出来，还用倒么，会风控么,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
785,这个我看是到期本息一起还？？这靠谱啊,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
786,一定要有公积金，没有房贷,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT,2
787,说的比较委婉，我说我用卡有问题吗？她说没问题，看我卡片情况比较多元化用的很好，我说不分。会不会搞我？？,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT O O O O O O O O O O O O O B-PRODUCT O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O,2
788,你直接说出账单就还款了，然后她就说已经还款了就不能分期了，就跟你拜拜了,O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT O O O O O O O O,2
789,已经出账单了没还。。所以才会接到啊,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O,2
790,我账单日第二天还款，依然接到，我直接说已经还了，她说还了不能分期了，就挂了,O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT O O O O O,2
791,意思不用叼她？？看他们说省卡部打来要给点面子。。我也一年半没分过了，天天喊分期,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT,2
792,不用理他，出账单了，他们就收到的名单，然后打电话，你就说已经还了，他们立马挂电话,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
793,一年分个一两次意思意思，我都很少分期,O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT,2
794,不分，分期不划算,O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2
795,别理他，他就一业务员怎么搞你？他想拿高提成,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O,2
796,我就是省分行分期的，结果两年不提，供你参考,O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O,2
797,你直接买单，然后她说她不可能,O O O O O O O O O O O O O O,2
798,我和楼主情况差不多，也是建行三张卡。两张已激活另外一张换卡四年了一直没激活，因为是第一张信用卡没舍得销卡。好久没提额了。...,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-BANK I-BANK O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O O O O O,2
799,对额度有影响,O B-PRODUCT I-PRODUCT O O O,2
800,别的卡有钱吗？先救急，用用，,O O B-PRODUCT O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2
801,没有??我就办一张招行的卡,O O O O O O O O O B-BANK I-BANK O B-PRODUCT,2
802,打信用卡客服电话协商吧,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O,2
803,打银行客服热线转人工客服反映。工行的客服还可以,O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O,2
804,目前3行，4年没提，工商银行的,O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O,2
805,逾期几个月了？,B-COMMENTS_N I-COMMENTS_N O O O O O,2
806,我还没逾期??我这个是还不上了??所以问下,O O O O O O O O O O O O O O O O O O O O O,2
807,我还没逾期，所以拿不到这个，求,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O,2
808,车卡？明天上新，可以办车主卡了,O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O,2
809,这个有名额，要靠抢，时常刷新看看。掌上生活盯着,O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O,2
810,隔天继续啊，招行的活动还是很给力的,O O O O O O B-BANK I-BANK O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
811,每天都去，就是抢不到了，我太难了,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
812,不是车卡，普通卡,O O B-PRODUCT I-PRODUCT O O O O,2
813,可以一个月吧，反正工行就是这样的,O O O O O O O O O B-BANK I-BANK O O O O O,2
814,快贷不可以的吧,B-PRODUCT I-PRODUCT O O O O O,2
815,怎么样了，浦发的好申请么,O O O O O B-BANK I-BANK O O O O O,2
816,都逾期3个多月了，没钱处理。,O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2
817,有催收么，浦发应该是没有吧,O O O O O B-BANK I-BANK O O O O O O,2
818,催得猛么我想问爆通讯录不？？,O O B-COMMENTS_ADJ O O O O O O O O O O O,0
819,申请快贷吗?我看了其他人，说试试就可以申请。?你不能快速贷款。,O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT O,2
820,为什么会被冻结？,O O O O O B-COMMENTS_N I-COMMENTS_N O,2
821,大山，不行就降级呗,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
822,大山，好申吗？,O O O B-COMMENTS_ADJ O O O,2
823,额度多少，老哥！,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2
824,问一下，1.目前持有几行？2.额度是否共享。因为目前我持有10行，建行万年不提，想试试2卡曲线,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O B-PRODUCT O O,2
825,是走的有卡通道还是无卡通道？都需要时间耐心等待吧,O O O O B-PRODUCT O O O O O B-PRODUCT O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2
826,这个卡还能曲线？,O O B-PRODUCT O O O O O,2
827,平安的备用金太坑别用，我提前还了扣了3%，打电话怼回来了,B-BANK I-BANK O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O,0
828,最终平安没有扣你3%手续费？,O O B-BANK I-BANK O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O,2
829,建行大山80k,B-BANK I-BANK B-PRODUCT I-PRODUCT O O O,2
830,我后悔了早知道上个月学你这样信用卡额度早提固定了。唉,O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O,0
831,第二次怎么申请的我手机申请已经拒了一次今天柜员机申请了,O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O,2
832,中信新快线要扣为梦幻钱。每提前一次，就扣除未结清的金额。,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O,2
833,手机和ATM就行了。最重要的是找到经销店的经理帮你申请。这样就快多了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O,2
834,就2万??菜卡，浦发,O O O O O B-PRODUCT I-PRODUCT O B-BANK I-BANK,0
835,我的菜卡红字还提额失败了,O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
836,为啥销？理由，额度低呗,O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O,0
837,一步步上岸??逐步销卡呗,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
838,建行真的升级不了。,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2
839,看到你了，我的建行5k额度应该卖出去了,O O O O O O O B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2
840,②中信爱白金75k,O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O,2
841,去怇台，工商柜台额度还行,O O O O B-BANK I-BANK O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
842,以前我能查到的这2天也不行，公积金可以登录是不是建行维护了,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-BANK I-BANK O O O,2
843,前几天能查到，29号以后0532地区也查不到了，是什么情况啊，太难了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
844,天啊，，几年就13万余额啊。摩拜大佬,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2
845,柜台怎么办？工行的有经验么,O O O O O O B-BANK I-BANK O O O O O,2
846,公积金找不到了！！！不知道是什么问题,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O,2
847,是正规的，单位统一在市公积金里存。昨天和今天,O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O,2
848,这卡有什么用？有什么优惠么这个信用卡,O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2
849,这卡有什么用？有什么优惠么这个信用卡,O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2
850,搬几十块砖肯定会有效果,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2
